	Loan_ID	ApplicantIncome	CoapplicantIncome	LoanAmount	Loan_Amount_Term	Credit_History	TotalIncome	LoanAmount_log	TotalIncome_log	Gender_Female	Gender_Male	Married_No	Married_Yes	Dependents_0	Dependents_0	Dependents_1	Dependents_2	Dependents_3+	Education_Graduate	Education_Not Graduate	Self_Employed_No	Self_Employed_Yes	Property_Area_Rural	Property_Area_Semiurban	Property_Area_Urban	predicted_output
0	LP001015	5720	0	110.0	360.0	1.0	5720	4.700480365792417	8.651724084373843	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
1	LP001022	3076	1500	126.0	360.0	1.0	4576	4.836281906951478	8.428580533059634	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1
2	LP001031	5000	1800	208.0	360.0	1.0	6800	5.337538079701318	8.824677891164198	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
3	LP001035	2340	2546	100.0	360.0	1.0	4886	4.605170185988092	8.494129251817686	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
4	LP001051	3276	0	78.0	360.0	1.0	3276	4.356708826689592	8.09437844497296	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0
5	LP001054	2165	3422	152.0	360.0	1.0	5587	5.0238805208462765	8.628197749459149	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1
6	LP001055	2226	0	59.0	360.0	1.0	2226	4.07753744390572	7.70796153183549	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0
7	LP001056	3881	0	147.0	360.0	0.0	3881	4.990432586778736	8.263848131368906	0	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0
8	LP001059	13633	0	280.0	240.0	1.0	13633	5.634789603169249	9.520248603186129	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
9	LP001067	2400	2400	123.0	360.0	1.0	4800	4.812184355372417	8.476371196895983	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0
10	LP001078	3091	0	90.0	360.0	1.0	3091	4.499809670330265	8.036249942132116	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0
11	LP001082	2185	1516	162.0	360.0	1.0	3701	5.087596335232384	8.216358332386156	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1
12	LP001083	4166	0	40.0	180.0	1.0	4166	3.6888794541139363	8.334711621820917	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0
13	LP001094	12173	0	166.0	360.0	0.0	12173	5.111987788356544	9.406975663409597	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1
14	LP001096	4666	0	124.0	360.0	1.0	4666	4.820281565605037	8.448057452581375	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
15	LP001099	5667	0	131.0	360.0	1.0	5667	4.875197323201151	8.64241515616962	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1
16	LP001105	4583	2916	200.0	360.0	1.0	7499	5.298317366548036	8.92252495730139	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
17	LP001107	3786	333	126.0	360.0	1.0	4119	4.836281906951478	8.323365694436081	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1
18	LP001108	9226	7916	300.0	360.0	1.0	17142	5.703782474656201	9.749286871458828	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
19	LP001115	1300	3470	100.0	180.0	1.0	4770	4.605170185988092	8.470101583882387	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0
20	LP001121	1888	1620	48.0	360.0	1.0	3508	3.871201010907891	8.162801353492073	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	1
21	LP001124	2083	0	28.0	180.0	1.0	2083	3.332204510175204	7.641564441260972	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0
22	LP001128	3909	0	101.0	360.0	1.0	3909	4.61512051684126	8.271036865792954	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1
23	LP001135	3765	0	125.0	360.0	1.0	3765	4.8283137373023015	8.233503140233994	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1
24	LP001149	5400	4380	290.0	360.0	1.0	9780	5.66988092298052	9.188094763028863	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1
25	LP001153	0	24000	148.0	360.0	0.0	24000	4.997212273764115	10.085809109330082	0	1	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0
